FID,thermo_tecto_age,thickness_upper_crust,thickness_middle_crust,upper_mantle_density_anomaly,d_2_ridge,d_2_trench,d_2_trans_ridge,d_2_volcano,d_2_hotspot,heat_prod_provinces,thickness_crust,d_2_young_rift,lon,lat,upper_mantle_vel_structure,rock_type,age,magnetic_anomaly,depth_to_moho,lithos_asthenos_bdry,bougeur_gravity_anomaly,topography
56,5.0,13.0,12.0,0.0298,386.7999878,3757.889893,4991.169922,1376.670044,22.90196419,0.95999998,36.4500008,86.33999634,-33.33331299,82.50012207,2.0,3,1.97914433,64.6277008,-44.7153015,138057.0,84.7891006,300.3129883
57,5.0,13.0,12.0,0.0331,373.1000061,3770.399902,4979.25,1372.030029,22.32711411,0.95999998,36.4000015,72.83999634,-32.33331299,82.50012207,2.0,3,2.0111382,94.4257965,-45.2486992,150028.0,93.6759033,977.5599976
58,5.0,13.00399971,12.0,0.0333,359.3800049,3782.800049,4967.5,1367.579956,21.78302002,0.95999998,36.4000015,59.72000122,-31.33331299,82.50012207,2.0,3,2.01185751,104.0110016,-45.5287018,174876.0,95.3105011,977.5599976
59,5.0,13.00399971,12.0,0.0308,345.6400147,3795.090088,4955.899902,1363.310059,21.27204704,0.95999998,36.2999992,47.27000046,-30.33331299,82.50012207,2.0,3,1.9813025,113.8789978,-45.5129013,155215.0,114.7399979,851.434021
60,2.0,13.00500011,12.0,0.0257,331.8699951,3807.25,4944.47998,1359.23999,20.79663467,1.54999995,36.0999985,36.20999908,-29.33331299,82.50012207,2.0,3,1.96113062,139.3079987,-45.1876984,140545.0,93.6832962,851.434021
61,2.0,13.00500011,12.0,0.0185,318.0799866,3819.290039,4933.220215,1355.359985,20.35927391,1.54999995,35.9000015,28.21999931,-28.33331299,82.50012207,2.0,3,1.95134187,115.314003,-44.5561981,131793.0,97.4786987,489.2279968
62,2.0,13.0,12.0,0.0102,304.2799988,3831.189941,4922.129883,1351.689941,19.96246529,1.54999995,35.7000008,21.75,-27.33331299,82.50012207,2.0,3,1.96611404,134.8000031,-43.6361008,117745.0,96.6123962,489.2279968
63,2.0,13.0,12.0,0.0017,290.4599915,3842.969971,4911.22998,1348.209961,19.60867119,1.54999995,35.5,15.47000027,-26.33331299,82.50012207,2.0,3,2.01452374,170.5740051,-42.4668007,100385.0,90.0357971,622.8569946
64,2.0,10.00300026,10.0,-0.0061,276.6499939,3854.620117,4900.5,1344.939941,19.30025864,1.54999995,35.2000008,9.57999992,-25.33331299,82.50012207,2.0,3,2.04552746,179.0440063,-41.0830994,102462.0,93.9298019,436.5589905
65,2.0,10.00300026,10.0,-0.0121,262.8200073,3866.139893,4889.970215,1341.869995,19.03943253,1.54999995,34.9000015,2.94000006,-24.33331299,82.50012207,3.0,3,2.04702258,157.779007,-39.4690018,103197.0,88.1317978,436.5589905
66,2.0,10.0010004,10.0,-0.0157,248.9900055,3877.51001,4879.629883,1339.01001,18.82817078,1.54999995,34.5499992,5.98000002,-23.33331299,82.50012207,3.0,3,2.04219246,105.6230011,-37.4710999,84304.5,84.9216995,448.8129883
132,5.0,8.994999886,10.0,-0.0336,561.6300049,3585.889893,5158.279785,1452.310059,32.31872559,0.95999998,31.0,74.01000214,-46.33331299,82.50012207,2.0,3,2.03574753,-55.9286995,-36.6575012,179241.0,29.4652996,-20.2807007
133,5.0,9.00399971,10.0,-0.0356,535.210022,3613.340088,5131.290039,1438.98999,30.70016289,0.95999998,33.0,80.83000183,-44.33331299,82.50012207,2.0,3,2.02958989,-14.6490002,-37.2946014,174822.0,36.8764992,-21.6061993
134,5.0,9.99600029,10.0,-0.0356,521.9400024,3626.939941,5117.950195,1432.540039,29.90819359,0.95999998,35.0,84.29000092,-43.33331299,82.50012207,2.0,3,2.0334425,-23.2642002,-37.4520988,164730.0,27.3479996,-21.6061993
135,5.0,9.994999886,10.0,-0.0309,495.2000122,3653.899902,5091.589844,1420.079956,28.3637085,0.95999998,34.0,91.22000122,-41.33331299,82.50012207,2.0,3,2.04268003,44.6815987,-38.085701,182321.0,32.6794014,944.184021
126,5.0,13.00399971,12.0,0.0172,399.7399902,3669.659912,5086.169922,1405.51001,25.54407883,0.95999998,33.0,2.6099999,-36.33331299,83.50012207,8.0,3,1.85804307,-41.7953987,-37.4632988,92050.10156,67.7741013,-21.1758995
127,5.0,13.00199985,12.0,0.0151,387.2600098,3680.939941,5075.549805,1401.209961,24.90983772,0.95999998,34.0,3.00999999,-35.33331299,83.50012207,8.0,3,1.83957005,-40.1903,-38.4900017,98949.39844,95.2589035,-21.1758995
128,5.0,13.00199985,12.0,0.0117,374.7600098,3692.129883,5065.060059,1397.050049,24.30020523,0.95999998,34.1500015,2.73000002,-34.33331299,83.50012207,8.0,3,1.825405,-2.4021101,-40.3233986,110174.0,133.2489929,876.0809937
129,5.0,13.0,12.0,0.0068,362.230011,3703.219971,5054.700195,1393.050049,23.71708298,0.95999998,34.1500015,2.6500001,-33.33331299,83.50012207,8.0,3,1.8241781,-12.6051998,-41.4827995,116601.0,116.3219986,876.0809937
130,5.0,13.0,12.0,0.0009,349.6900024,3714.219971,5044.470215,1389.189941,23.16246986,0.95999998,34.1500015,2.11999989,-32.33331299,83.50012207,8.0,3,1.83588934,-37.6259995,-41.9275017,119858.0,95.4040985,-153.0169983
131,5.0,13.00399971,12.0,-0.0058,337.1400147,3725.120117,5034.379883,1385.5,22.63846207,0.95999998,34.0999985,4.26000023,-31.33331299,83.50012207,8.0,3,1.83668256,-28.9655991,-41.5368996,114219.0,110.2109985,-187.5879974
