FID,thermo_tecto_age,thickness_upper_crust,thickness_middle_crust,upper_mantle_density_anomaly,d_2_ridge,d_2_trench,d_2_trans_ridge,d_2_volcano,d_2_hotspot,heat_prod_provinces,thickness_crust,_lithk_cona,_depth_to_moho_?,d_2_young_rift,OBJECTID_1,lon,lat,_num_in_cell,_num_in_continent,GHF,upper_mantle_vel_structure,_lithology_HM_unmodified,rock_type,age,magnetic_anomaly,depth_to_moho,_depth_to_moho_pasyanos,lithos_asthenos_bdry,_airy_gravity_anomaly,bougeur_gravity_anomaly,topography,_continent
0,1,12.999,13.0,0.060800001,2048.46,2135.04,3879.25,1764.58,30.50409809,1.980000019,36.3899994,200.0,-36.64,622.95,14745,-110.333313,75.50012207,1,18947,54.0,2,5,3,2.29706001,-1.69836,-42.0954018,36907.69922,219571.0,-14.4223003,110.1439972,76.2264023,North America
1,1,12.999,13.0,0.060800001,2048.46,2135.04,3879.25,1764.58,30.50409809,1.980000019,36.3899994,200.0,-36.64,622.95,14744,-111.333313,75.50012207,1,18947,57.5,2,5,3,2.27785993,-13.7006998,-42.2949982,38209.69922,237790.0,-7.2954302,114.9789963,71.4031982,North America
2,1,13.0,13.0,0.0383,2056.02,2063.41,3853.5,1708.09,30.43846251,1.980000019,38.8499985,200.0,-39.0,704.73,14667,-113.333313,74.50012207,2,18947,56.0,2,5,3,2.28220248,17.4319992,-26.9820995,41135.10156,245314.0,-18.5734997,119.2320023,-151.2480011,North America
3,1,13.0,12.0,0.034299999,1872.02,2567.14,4110.06,2071.42,34.67708177,1.980000019,35.2799988,200.0,-35.29,167.55,14669,-95.33331299,74.50012207,2,18947,118.1669998,2,5,3,2.11801505,-64.8132019,-30.2311993,33659.60156,183278.0,-4.3288498,123.3050003,-74.8432999,North America
4,1,10.0,9.5,0.0059,2057.43,1913.82,3817.14,1585.16,25.70019455,1.00999999,34.7599983,200.0,-35.0,893.78,14666,-121.333313,74.50012207,1,18947,46.530899,2,5,3,2.74049759,10.6483002,-31.743,38226.80078,242293.0,-20.5517006,114.7669983,139.4219971,North America
5,1,12.001,12.5,0.0678,1922.91,2652.72,4110.25,2163.25,35.92352989,1.00999999,40.8199997,200.0,-41.0,69.81,14576,-91.33331299,73.50012207,1,18947,35.0,2,5,3,2.16012001,-166.4340057,-28.8785,34308.10156,195690.0,11.0094995,125.6930008,198.6710052,North America
6,1,11.998,12.5,0.0484,2022.87,2416.94,3947.23,1981.83,32.03903869,1.00999999,39.0,200.0,-38.9,301.97,14570,-99.33331299,73.50012207,1,18947,43.2221985,2,5,3,2.20699453,-9999.0,-33.219799,32082.0,210620.0,-13.1346998,106.0039978,126.6790009,North America
7,1,12.003,12.5,0.030300001,2168.65,1897.84,3718.8,1587.78,26.87936011,1.00999999,41.0,200.0,-40.79,864.66,14563,-117.333313,73.50012207,1,18947,48.0,2,5,3,2.56842685,-149.1300049,-31.8651009,38845.89844,267943.0,9.2605495,125.913002,167.7250061,North America
8,1,9.997,9.5,-0.027000001,2056.76,1858.71,3811.99,1533.75,24.01041441,1.00999999,34.8100014,200.0,-35.0,972.82,14557,-123.333313,73.50012207,3,18947,71.4259033,2,5,3,2.79437256,-2.60937,-37.6152,42612.80078,225520.0,4.2108202,130.375,50.6525993,North America
9,1,12.005,12.49,0.031500001,2168.75,1830.67,3706.32,1518.11,24.90983741,1.00999999,41.0,210.0,-40.79,946.44,14560,-120.333313,73.50012207,1,18947,50.796299,2,5,3,2.68612146,-135.4190063,-38.3597984,39874.30078,237485.0,-9.8508101,106.1009979,269.6350098,North America
10,5,12.997,13.0,-0.009,2279.69,1704.45,3590.62,1395.61,22.90196498,0.959999979,41.0,200.0,-40.81,1061.67,14430,-122.333313,72.50012207,2,18947,56.7593002,1,5,3,2.83379745,-44.9332008,-36.3745003,46888.19922,237436.0,-1.06741,115.5279999,157.4850006,North America
11,5,12.005,12.49,0.0067,2280.06,1750.37,3595.52,1443.59,24.13503677,0.959999979,41.0,200.0,-40.83,1007.29,14432,-120.333313,72.50012207,1,18947,51.0741005,1,5,3,2.68612146,-15.1406002,-36.0629005,43757.89844,240636.0,1.4053299,118.3460007,154.8609924,North America
12,5,13.003,12.0,0.02,2101.65,2432.06,3897.18,2017.22,31.97655391,0.959999979,36.8800011,200.0,-37.0,291.25,14450,-97.33331299,72.50012207,1,18947,55.6110992,2,5,3,2.5608449,-125.3980026,-34.838501,35372.0,229468.0,4.4130001,124.8190002,81.6350021,North America
13,5,12.003,12.5,0.0061,2279.97,1824.46,3609.1,1516.55,26.1629509,0.959999979,41.0,210.0,-40.88,921.77,14435,-117.333313,72.50012207,1,18947,52.0,1,5,3,2.80225468,-63.2989998,-35.7579002,44726.69922,271269.0,-0.784117,114.8399963,129.3509979,North America
14,5,9.996,10.0,-0.035,2278.98,1661.59,3589.04,1350.78,21.78302091,0.959999979,34.0,200.0,-33.92,1116.17,14428,-124.333313,72.50012207,1,18947,66.7469025,2,5,3,2.83379745,-128.9550018,-36.4029007,41353.5,227800.0,-13.0045004,112.6969986,124.1470032,North America
15,1,7.0,6.995,-0.048099998,2060.63,1454.51,3908.2,941.44,26.95366394,1.00999999,29.9400005,120.0,-30.0,568.16,14118,-156.333313,70.50012207,1,18947,59.4496994,4,3,3,1.69962001,-51.9542007,-28.7959003,37199.80078,200325.0,-30.1844006,102.4039993,24.5811996,North America
16,1,5.998,7.0,-0.019200001,2184.57,1322.61,3777.79,859.92,24.78911051,1.00999999,30.0,120.0,-29.98,667.19,14120,-154.333313,70.50012207,7,18947,61.2845001,4,3,3,1.7899425,9.3976202,-30.7651997,37713.39844,198573.0,-5.5521698,128.0429993,24.7171001,North America
17,1,7.005,6.99,-0.0145,2065.38,1396.15,3884.29,833.91,27.90161286,1.00999999,31.0,100.0,-30.98,523.87,14115,-159.333313,70.50012207,2,18947,56.7221985,4,3,3,1.59310496,-29.4521999,-29.1320992,38093.39844,191810.0,-27.8701992,104.3130035,27.1536999,North America
18,1,7.001,7.0,-0.0296,2301.8,1253.5,3636.89,884.74,20.70024154,1.00999999,33.6599998,180.0,-33.67,877.9,13908,-149.333313,69.50012207,3,18947,59.703701,4,3,3,1.7602644,3.5034201,-29.9745007,36430.69922,209842.0,-13.5415001,90.8103027,237.1159973,North America
19,1,7.005,6.99,-0.0145,2065.38,1396.15,3884.29,833.91,27.90161286,1.00999999,31.0,100.0,-30.98,523.87,14116,-158.333313,70.50012207,2,18947,59.6851997,4,3,3,1.65079498,-99.6573029,-28.0475006,36215.89844,183780.0,-26.9169998,104.9440002,28.2835999,North America
20,1,7.005,7.0,-0.0163,2214.01,1307.58,3752.66,861.5,24.05202694,1.00999999,30.0,140.0,-29.98,702.99,14121,-153.333313,70.50012207,4,18947,65.3470001,4,3,3,1.82121253,-19.8808002,-31.4741993,38550.39844,199394.0,-13.2631998,120.9179993,21.4391994,North America
21,1,6.998,7.0,-0.0177,2271.0,1281.67,3704.32,869.69,22.63846285,1.00999999,30.0,140.0,-30.0,773.44,14122,-152.333313,70.50012207,7,18947,67.6912994,4,3,3,1.82797754,-27.6005993,-32.1478004,38214.0,192428.0,-20.9547005,114.2630005,16.9073009,North America
22,1,7.0,6.995,-0.048099998,2060.63,1454.51,3908.2,941.44,26.95366394,1.00999999,29.9400005,110.0,-30.0,568.16,14117,-157.333313,70.50012207,2,18947,61.4073982,4,3,3,1.68630004,-112.7630005,-27.9573994,36242.0,189031.0,-28.4892998,103.6699982,21.9755001,North America
23,1,9.996,9.5,0.0057,1974.55,1461.26,3969.94,824.53,30.3726851,1.00999999,30.9899998,100.0,-31.0,414.75,13896,-161.333313,69.50012207,1,18947,36.8889008,4,3,3,1.40408754,-30.5517998,-27.9841003,39010.19922,182325.0,-2.55143,111.8560028,159.1790009,North America
24,1,10.998,11.0,0.0232,2044.28,1143.19,3358.12,808.49,15.70031847,1.00999999,32.9399986,210.0,-33.0,1213.49,13917,-140.333313,69.50012207,1,18947,50.6296005,4,3,3,1.9567337,-69.5578995,-31.0266991,37336.69922,172113.0,10.8502998,108.4789963,405.4429932,North America
25,1,7.001,7.0,-0.0296,2301.8,1253.5,3636.89,884.74,20.70024154,1.00999999,33.6599998,190.0,-33.67,877.9,13909,-148.333313,69.50012207,6,18947,54.8889008,4,3,3,1.80316818,-6.1441102,-30.6436005,37755.5,192823.0,-20.1040993,78.6785965,248.9519958,North America
26,1,7.005,7.0,-0.0163,2214.01,1307.58,3752.66,861.5,24.05202694,1.00999999,30.0,130.0,-29.98,702.99,13904,-153.333313,69.50012207,1,18947,59.530201,4,3,3,1.72205186,101.7170029,-26.8393002,40591.10156,198782.0,-5.79598,106.7480011,183.5659943,North America
27,1,10.505,10.99,-0.0018,2247.71,1222.67,3697.34,760.12,24.13503677,0.959999979,38.0,110.0,-37.87,700.41,13903,-154.333313,69.50012207,2,18947,55.854599,4,3,3,1.68525755,171.9309998,-27.7817993,40130.39844,196582.0,-10.5396996,103.2809982,116.2249985,North America
28,5,10.0,11.0,-0.0016,2002.58,1263.85,3274.53,965.03,16.4468842,0.959999979,34.0,210.0,-33.98,1496.07,13921,-130.333313,69.50012207,3,18947,70.6135025,2,5,3,2.43215489,-7.6813898,-35.5607986,35018.39844,239581.0,1.9487,126.7839966,21.4088993,North America
29,1,10.502,11.0,0.0005,2303.98,1190.15,3644.25,768.75,22.63846285,0.959999979,38.0,110.0,-37.85,756.6,13905,-152.333313,69.50012207,1,18947,64.1184998,4,3,3,1.74188066,242.2140045,-26.6984005,40862.69922,190301.0,-9.0252304,103.4499969,124.072998,North America
30,1,10.998,11.0,0.0232,2044.28,1143.19,3358.12,808.49,15.70031847,1.00999999,32.9399986,210.0,-33.0,1213.49,13918,-139.333313,69.50012207,3,18947,51.296299,4,1,3,1.95718849,-99.1750031,-26.7194996,32334.80078,196381.0,7.2149701,120.0790024,107.6210022,North America
31,1,8.003,8.0,0.035100002,2018.59,1175.92,3319.31,853.65,15.50806242,1.00999999,34.8100014,210.0,-34.82,1325.63,13919,-134.333313,69.50012207,38,18947,58.6409988,2,5,3,2.12345767,-3.4256201,-30.8824005,35649.89844,180316.0,-51.0029984,78.1287003,18.7422009,North America
32,5,10.0,11.0,0.020500001,2003.05,1243.26,3281.44,939.66,16.14001239,0.959999979,34.0,210.0,-33.98,1478.24,13920,-132.333313,69.50012207,26,18947,63.9898987,2,5,3,2.27738571,-116.6409988,-35.446701,31963.0,213220.0,-19.7705002,107.7779999,17.1086998,North America
33,1,10.502,11.0,0.0028,2091.95,1304.19,3811.09,737.58,27.32215218,0.959999979,38.0,100.0,-37.79,553.3,13899,-158.333313,69.50012207,1,18947,50.8333015,4,3,3,1.53944182,-22.0340004,-30.5762005,40593.89844,182085.0,-14.2764997,94.9644012,267.1650085,North America
34,1,10.502,11.0,-0.0348,2249.16,1105.41,3589.67,669.89,22.72663635,0.959999979,38.0,100.0,-37.23,647.09,13664,-153.333313,68.50012207,1,18947,55.6935997,4,5,3,1.52373064,130.897995,-34.9799004,41548.19922,195689.0,12.6780005,70.6225967,1014.109985,North America
35,1,8.0,8.0,0.0211,1926.43,1045.1,3239.92,722.7,14.57737974,1.440000057,37.0,210.0,-36.58,1222.36,13680,-137.333313,68.50012207,4,18947,59.232399,2,3,3,1.86363006,-102.223999,-27.7024002,34315.89844,180562.0,-8.2010202,79.5490036,548.5189819,North America
36,1,10.497,11.0,0.034600001,2008.11,1206.42,3298.35,893.34,15.70031847,1.00999999,35.9599991,210.0,-35.95,1401.59,13684,-133.333313,68.50012207,28,18947,62.7583008,2,5,3,2.13594556,167.2250061,-37.7696991,36386.69922,214861.0,9.2915201,127.1429977,86.4012985,North America
37,1,10.505,10.99,-0.0308,2213.33,1145.93,3647.7,660.32,24.30020576,0.959999979,38.0,100.0,-37.3,595.16,13662,-155.333313,68.50012207,2,18947,49.0429993,4,5,3,1.42615747,155.4669952,-34.1010017,42045.80078,180300.0,-2.9099801,61.7706985,939.3129883,North America
38,1,8.003,8.0,0.035100002,2018.59,1175.92,3319.31,853.65,15.50806242,1.00999999,34.8100014,210.0,-34.82,1325.63,13682,-135.333313,68.50012207,27,18947,60.7304993,2,5,3,2.07137156,-31.2420006,-31.4626007,40947.60156,154705.0,-21.3153992,91.4548035,-0.747959,North America
39,1,8.003,8.0,0.035100002,2018.59,1175.92,3319.31,853.65,15.50806242,1.00999999,34.8100014,210.0,-34.82,1325.63,13681,-136.333313,68.50012207,23,18947,60.5973015,2,3,3,1.98890996,-67.9934006,-28.9624004,38500.39844,170668.0,-21.8428993,74.5126038,355.7829895,North America
40,1,8.003,8.0,0.0381,1902.43,1088.77,3201.24,782.32,14.57737974,1.00999999,36.2999992,210.0,-36.29,1342.76,13683,-134.333313,68.50012207,13,18947,61.4159012,2,5,3,2.10308599,-80.1537018,-34.6156998,39109.89844,178956.0,-8.5628996,111.4179993,-1.03939,North America
41,5,10.001,11.0,0.0106,1788.26,1170.09,3038.25,868.07,15.95305613,0.959999979,34.0,210.0,-33.7,1550.29,13419,-127.333313,67.50012207,1,18947,53.5038986,2,5,3,2.25590444,54.0055008,-35.9453011,42737.60156,243044.0,18.4454002,116.9820023,292.0679932,North America
42,1,10.0,11.0,0.023800001,1781.05,1111.14,3048.27,825.49,14.98332406,0.959999979,34.0,210.0,-33.77,1543.77,13417,-129.333313,67.50012207,2,18947,63.6551018,2,5,3,2.13489723,55.281601,-35.3686981,41616.19922,236494.0,10.5798998,113.9189987,247.7050018,North America
43,5,13.004,12.0,0.0,1802.09,1233.6,3033.15,916.46,17.10263138,0.959999979,37.0,220.0,-36.7,1489.47,13421,-125.333313,67.50012207,2,18947,55.2439995,2,5,3,2.48062062,-9.0622797,-36.8401985,43352.80078,239988.0,3.50333,99.6820984,320.8970032,North America
44,1,8.0,8.0,0.0049,1806.78,1413.06,3973.11,638.99,32.87095983,1.00999999,31.1800003,100.0,-31.05,281.75,13652,-165.333313,68.50012207,2,18947,52.0,6,5,3,0.72777247,6.4723601,-31.2770004,39529.39844,83282.39844,-16.0641003,106.8379974,173.947998,North America
45,1,12.003,12.0,0.035500001,1808.39,953.43,3121.05,648.61,13.50925609,1.440000057,37.0,210.0,-36.3,1246.0,13410,-136.333313,67.50012207,1,18947,62.9662018,2,3,3,1.85848939,-133.0899963,-31.2569008,43922.30078,119400.0,1.11413,77.7365036,1118.25,North America
46,1,10.504,11.0,-0.037700001,2193.8,1071.98,3534.4,683.7,21.22498528,0.959999979,43.0,100.0,-42.27,706.41,13666,-151.333313,68.50012207,1,18947,77.7348022,3,3,3,1.5852381,248.7449951,-34.6883011,40609.89844,171441.0,8.6540003,63.6771011,679.2039795,North America
47,5,10.001,11.0,0.0051,1794.36,1201.29,3035.08,891.36,16.50757402,0.959999979,37.0,210.0,-36.7,1519.83,13420,-126.333313,67.50012207,2,18947,52.2696991,2,5,3,2.40707517,-41.9832001,-36.7709999,42640.19922,255634.0,20.9242992,118.2149963,267.8609924,North America
48,1,10.504,11.0,0.0339,1779.95,1083.59,3055.11,800.21,14.57737974,0.959999979,34.0,210.0,-33.8,1501.17,13416,-130.333313,67.50012207,3,18947,66.4517975,2,5,3,2.11292624,-65.9695969,-35.5806007,42610.69922,211000.0,9.9379101,115.3479996,195.7599945,North America
49,5,13.004,12.0,-0.0036,1811.43,1262.4,3032.46,943.21,17.73414785,0.959999979,37.0,220.0,-36.73,1459.21,13422,-124.333313,67.50012207,2,18947,58.1505013,2,5,3,2.53607678,157.8549957,-36.2998009,44912.10156,236806.0,4.9795899,100.7639999,245.6799927,North America
50,1,12.003,12.0,0.0164,1818.83,938.85,3136.06,627.77,13.58307771,1.440000057,37.0,210.0,-36.47,1203.68,13408,-138.333313,67.50012207,3,18947,57.2685013,2,1,3,1.66095495,-106.9069977,-30.7502995,38327.60156,168171.0,12.5313997,93.3881989,548.0900269,North America
51,5,12.996,12.0,-0.0052,1822.37,1288.32,3033.01,967.59,18.39836949,0.959999979,37.0,210.0,-36.68,1429.08,13423,-123.333313,67.50012207,1,18947,61.1421013,2,5,3,2.59683204,88.623703,-35.9982986,45600.19922,259553.0,7.9259,101.0270004,299.5740051,North America
52,1,12.003,12.0,0.0164,1818.83,938.85,3136.06,627.77,13.58307771,1.440000057,37.0,210.0,-36.47,1203.68,13409,-137.333313,67.50012207,2,18947,61.0438995,2,3,3,1.75591314,-159.1380005,-30.8736992,39761.10156,150513.0,-8.5088501,71.0522995,490.3519897,North America
53,1,10.497,11.0,0.0579,1792.31,989.28,3094.42,697.53,13.58307771,0.959999979,36.1599998,210.0,-36.12,1330.89,13412,-134.333313,67.50012207,2,18947,65.4886017,2,5,3,1.98992252,497.2269897,-29.9078999,42053.89844,159740.0,5.4507799,115.7559967,43.8158989,North America
54,1,10.504,11.0,0.0339,1779.95,1083.59,3055.11,800.21,14.57737974,0.959999979,34.0,210.0,-33.8,1501.17,13415,-131.333313,67.50012207,1,18947,66.4299011,2,5,3,2.09926581,276.2109985,-34.5654984,42735.89844,193405.0,9.0316401,115.7919998,220.4960022,North America
55,1,10.502,11.0,0.059999999,1786.72,1010.2,3082.82,724.92,13.72953022,0.959999979,36.1500015,210.0,-36.06,1373.42,13413,-133.333313,67.50012207,3,18947,66.7284012,2,5,3,2.03422379,440.9819946,-29.8962002,39466.39844,194357.0,12.5861998,124.5920029,86.7214966,North America
56,1,10.497,11.0,0.049400002,1799.54,970.28,3107.16,671.93,13.50925609,0.959999979,36.75,210.0,-36.4,1288.41,13411,-135.333313,67.50012207,5,18947,64.0077972,2,5,3,1.93649244,300.2950134,-30.9158993,43385.89844,135613.0,4.6755199,98.5402985,303.9299927,North America
57,1,10.502,11.0,0.055399999,1782.79,1032.93,3072.39,749.93,13.94632568,0.959999979,37.0,210.0,-36.83,1415.99,13414,-132.333313,67.50012207,3,18947,67.4368973,2,5,3,2.06939626,485.8500061,-32.1153984,39147.39844,194029.0,15.3494997,124.8000031,142.2480011,North America
58,1,10.504,11.0,0.0359,1668.63,999.37,2945.56,714.17,13.65650028,0.959999979,34.0,210.0,-33.88,1505.48,13146,-130.333313,66.50012207,3,18947,70.2949982,2,5,3,2.16695166,370.053009,-34.0287018,41985.30078,194167.0,-19.7880001,85.3041992,72.9112015,North America
59,5,12.997,12.0,-0.0142,1869.62,1474.81,2974.04,1154.01,22.94558781,0.959999979,38.0,220.0,-37.59,1280.11,13161,-115.333313,66.50012207,1,18947,54.0,1,5,1,3.22551823,-27.9242001,-37.4930992,45270.10156,267331.0,13.0254002,97.9059982,462.4970093,North America
60,1,12.003,12.0,0.0073,1711.7,833.92,3032.68,538.35,12.58967831,1.440000057,37.0,210.0,-36.45,1195.0,13139,-137.333313,66.50012207,12,18947,62.6134987,4,3,3,1.54047942,152.2189941,-30.1422005,42291.10156,133332.0,-2.9995501,63.6959991,716.6519775,North America
61,1,12.003,12.0,-0.0188,2169.08,984.78,3532.12,486.71,24.01041441,1.440000057,37.0,100.0,-36.72,399.69,13120,-156.333313,66.50012207,1,18947,63.6110992,6,10,1,1.0944314,52.3372002,-28.0727997,45458.89844,91945.10156,-6.2437501,98.8693008,307.42099,North America
62,1,10.497,11.0,0.0583,1682.34,892.35,2987.9,614.01,12.58967831,0.959999979,36.0,210.0,-35.73,1328.14,13141,-135.333313,66.50012207,5,18947,67.2025986,4,5,3,1.67753744,245.404007,-28.5925007,43220.19922,132781.0,52.901001,126.1819992,538.0700073,North America
63,5,12.996,12.0,-0.0232,1715.6,1203.33,2921.73,883.45,17.67766953,0.959999979,37.0,210.0,-36.75,1509.95,13153,-123.333313,66.50012207,1,18947,65.5128021,2,5,3,2.54012918,8.7078896,-39.7254982,45962.39844,235918.0,-12.8990002,86.3416977,260.2720032,North America
64,5,13.0,12.0,-0.024,1881.29,1404.38,3047.55,1080.11,21.31900561,0.959999979,37.0,220.0,-36.62,1310.13,13427,-119.333313,67.50012207,1,18947,96.0,2,5,3,2.82710004,-15.1093998,-39.9049988,44420.0,270368.0,-23.8237,65.7767029,397.0639954,North America
65,1,11.999,12.0,-0.046599999,1756.49,799.55,3088.01,483.79,13.28533026,1.440000057,37.0,200.0,-36.26,1062.08,13136,-140.333313,66.50012207,1,18947,43.3903999,4,5,3,1.41421378,-68.8628006,-31.5230007,42656.80078,175396.0,10.8676996,72.3998032,808.0570068,North America
66,1,10.001,11.0,0.0131,1684.61,1121.31,2923.97,806.53,15.70031847,0.959999979,37.0,210.0,-36.75,1599.71,13150,-126.333313,66.50012207,1,18947,59.5337982,2,5,3,2.2483933,187.2129974,-36.7277985,44839.39844,210076.0,6.6114101,105.0670013,200.253006,North America
67,1,12.003,12.0,0.0073,1711.7,833.92,3032.68,538.35,12.58967831,1.440000057,37.0,210.0,-36.45,1195.0,13138,-138.333313,66.50012207,8,18947,58.6315002,4,3,3,1.49243999,-22.0634995,-30.9167004,41781.39844,140871.0,7.10885,73.0383987,444.1690063,North America
68,1,12.003,12.0,0.0288,1700.15,850.97,3016.55,562.94,12.509996,1.440000057,37.0,200.0,-36.39,1239.37,13140,-136.333313,66.50012207,1,18947,64.1756973,4,3,3,1.59764814,326.473999,-29.5314999,44055.80078,117724.0,34.5489006,101.5830002,555.7299805,North America
69,5,13.004,12.0,-0.0129,1703.52,1174.48,2921.14,855.85,16.98528775,0.959999979,37.0,210.0,-36.75,1539.72,13152,-124.333313,66.50012207,2,18947,62.4151001,2,5,3,2.46976066,71.2461014,-39.6875992,45871.10156,197702.0,-15.7903996,82.2928009,248.5399933,North America
70,1,10.502,11.0,0.056299999,1671.78,942.33,2964.19,662.98,12.98075499,0.959999979,38.0,210.0,-37.84,1416.87,13144,-132.333313,66.50012207,4,18947,72.3551025,2,3,3,1.95788372,167.1080017,-29.6760998,39744.39844,158693.0,-24.3957996,76.280899,126.310997,North America
71,1,10.497,11.0,0.0583,1682.34,892.35,2987.9,614.01,12.58967831,0.959999979,36.0,210.0,-35.73,1328.14,13142,-134.333313,66.50012207,10,18947,70.5,4,3,3,1.78014755,206.3329926,-27.4458008,42617.0,147865.0,22.5235996,111.413002,336.4530029,North America
72,1,9.995,10.0,0.0175,1991.64,1107.07,3673.84,463.45,27.50454508,1.440000057,37.0099983,100.0,-36.91,297.55,12852,-160.333313,65.50012207,1,18947,87.0,6,3,1,0.92125601,-65.1302032,-26.9333992,37597.30078,61013.69922,2.92098,117.5910034,326.6180115,North America
73,1,10.0,11.0,0.026699999,1672.93,1062.12,2932.13,757.24,14.57737974,0.959999979,34.0,210.0,-33.87,1593.9,13148,-128.333313,66.50012207,1,18947,68.7169037,2,5,3,2.11297703,360.9140015,-33.7868996,43260.69922,227502.0,1.45833,107.2229996,98.0182037,North America
74,1,10.0,11.0,0.026699999,1672.93,1062.12,2932.13,757.24,14.57737974,0.959999979,34.0,210.0,-33.87,1593.9,13147,-129.333313,66.50012207,3,18947,70.3666,2,5,3,2.17927432,245.0570068,-33.9230995,42779.5,228374.0,-14.6492004,91.8634033,82.933197,North America
75,1,10.502,11.0,0.061700001,1676.14,916.32,2975.42,637.17,12.74754878,0.959999979,39.0,210.0,-38.86,1372.52,13143,-133.333313,66.50012207,4,18947,72.5058975,4,3,3,1.87359619,292.7049866,-27.5167007,42271.69922,152882.0,-10.2774,88.405899,114.1389999,North America
76,1,20.001,20.0,0.0254,1562.1,978.71,2821.67,670.48,13.72953022,0.959999979,46.0,210.0,-45.64,1608.97,12884,-128.333313,65.50012207,6,18947,74.9962006,2,5,3,1.99622583,240.1889954,-33.6946983,44020.69922,176900.0,-9.382,67.1448975,122.7669983,North America
77,1,12.997,13.0,-0.020199999,1596.06,1090.2,2809.82,774.31,16.26345597,0.959999979,41.0,210.0,-40.76,1573.0,12888,-124.333313,65.50012207,4,18947,64.8893967,2,5,3,2.34988117,128.2339935,-37.8480988,46084.89844,168373.0,-1.23545,95.4324036,244.7480011,North America
78,1,19.996,20.0,0.015699999,1567.57,1003.84,2816.56,692.74,14.30034965,0.959999979,46.0,210.0,-45.76,1617.41,12885,-127.333313,65.50012207,6,18947,71.0035019,2,5,3,2.02062964,31.5168991,-33.8348999,43350.10156,176554.0,-23.1984997,63.1170006,201.526001,North America
79,1,19.004,12.0,0.0374,1560.82,856.02,2856.2,578.54,12.02081528,1.440000057,38.0,200.0,-37.01,1426.32,12880,-132.333313,65.50012207,1,18947,79.4408035,2,3,3,1.77267838,-4.6304898,-34.8339005,44171.89844,127156.0,44.2564011,74.2659988,917.9860229,North America
80,1,12.997,13.0,-0.009,1584.59,1059.89,2810.63,744.88,15.5724115,0.959999979,41.0,210.0,-40.73,1585.93,12887,-125.333313,65.50012207,1,18947,64.4329987,2,5,3,2.22960377,126.0889969,-35.9334984,44195.30078,161690.0,-17.0562,76.7485962,189.9440002,North America
81,1,14.001,15.0,0.035500001,1558.04,887.17,2845.48,604.12,12.34908904,1.440000057,38.0,200.0,-37.22,1472.1,12881,-131.333313,65.50012207,3,18947,75.4162979,2,5,3,1.88452065,114.7720032,-35.9547997,40721.10156,153327.0,31.6847,69.524498,854.6870117,North America
82,1,14.001,15.0,0.0339,1557.32,920.02,2836.14,624.64,12.74754878,1.440000057,46.0,200.0,-45.28,1517.8,12882,-130.333313,65.50012207,1,18947,75.0756989,2,5,3,2.00237918,52.6738014,-35.6738014,40401.39844,166668.0,12.7639999,60.4171982,782.3029785,North America
83,1,20.001,20.0,0.0254,1562.1,978.71,2821.67,670.48,13.72953022,0.959999979,46.0,210.0,-45.64,1608.97,12883,-129.333313,65.50012207,7,18947,75.0759964,2,5,3,2.0396142,106.2180023,-34.4674988,43414.69922,171871.0,0.915232,63.8880005,457.4890137,North America
84,1,19.996,20.0,0.0035,1575.08,1031.0,2812.87,717.61,14.91643389,0.959999979,41.0,200.0,-40.7,1600.75,12886,-126.333313,65.50012207,1,18947,66.6509018,2,5,3,2.11282587,64.5416031,-34.6329002,43875.5,167978.0,-13.6187,75.2416992,415.1499939,North America
85,5,12.996,13.0,-0.029200001,1609.45,1122.11,2810.46,805.69,16.98528775,0.959999979,41.0,210.0,-40.76,1562.02,12889,-123.333313,65.50012207,5,18947,65.9253006,2,5,3,2.40616393,262.8840027,-40.0021019,46696.69922,204706.0,-12.9959002,85.0110016,273.2120056,North America
86,6,13.004,12.0,-0.0115,1854.95,1593.59,2845.11,1278.07,20.50609665,0.959999979,39.4000015,230.0,-38.95,1201.63,12629,-110.333313,64.50012207,2,18947,35.5,1,9,1,3.69108868,23.6177998,-40.1072006,42254.10156,216612.0,-17.8633003,61.3419991,455.5469971,North America
87,1,12.997,13.0,-0.0229,1476.4,976.71,2699.37,666.9,14.8492424,1.440000057,41.0,200.0,-40.68,1480.14,12613,-126.333313,64.50012207,3,18947,71.9503021,2,5,3,2.00037313,-86.2027969,-35.7783012,43697.30078,134225.0,-14.2144003,36.9369011,486.0920105,North America
88,1,10.497,11.0,-0.075199999,1681.05,574.13,3021.34,277.12,14.15980226,1.440000057,33.4700012,100.0,-32.89,827.26,12593,-146.333313,64.50012207,1,18947,84.7778015,6,8,2,1.07499492,-8.3060598,-30.3180008,39843.39844,51262.5,20.1791992,96.9281006,338.8059998,North America
89,1,12.996,13.0,-0.032900002,1520.93,1082.77,2701.43,772.78,17.10263138,0.959999979,39.0,210.0,-38.75,1443.51,12616,-123.333313,64.50012207,1,18947,66.6988983,2,5,3,2.24852204,58.0983009,-35.2090988,45357.89844,195655.0,16.1686001,103.9570007,310.6610107,North America
90,1,10.5,11.0,-0.079099998,1696.73,506.36,3029.88,242.04,15.70031847,1.440000057,38.3300018,100.0,-37.23,695.5,12332,-148.333313,63.50012207,1,18947,69.2221985,6,3,3,0.9661631,-59.6599007,-36.0775986,45006.60156,110891.0,20.5919991,54.6328011,1220.829956,North America
