FID,thermo_tecto_age,thickness_upper_crust,thickness_middle_crust,upper_mantle_density_anomaly,d_2_ridge,d_2_trench,d_2_trans_ridge,d_2_volcano,d_2_hotspot,heat_prod_provinces,thickness_crust,_lithk_cona,_depth_to_moho_?,d_2_young_rift,OBJECTID_1,lon,lat,_num_in_cell,_num_in_continent,GHF,upper_mantle_vel_structure,_lithology_HM_unmodified,rock_type,age,magnetic_anomaly,depth_to_moho,_depth_to_moho_pasyanos,lithos_asthenos_bdry,_airy_gravity_anomaly,bougeur_gravity_anomaly,topography,_continent
469,1,16.003,16.0,0.0013,1534.89,1717.33,1685.3,1075.78,6.670832032,1.440000057,44.5099983,200.0,-44.2,516.91,6756,-97.33331299,34.50012207,2,18947,47.5676003,2,3,3,2.16702724,378.7109985,-24.8701992,44000.69922,165910.0,17.8483009,116.810997,307.4179993,North America
470,1,20.001,20.0,0.0101,1139.72,1525.55,1226.68,661.07,2.121320344,1.440000057,47.0,100.0,-45.82,240.41,6751,-102.333313,34.50012207,54,18947,46.2737007,4,1,3,1.49181712,-822.1929932,-37.3785019,48638.10156,107190.0,-22.0499001,-13.2474003,1182.729981,North America
471,2,17.997,16.0,0.0163,1795.91,1758.31,1771.78,2027.69,19.55760722,1.980000019,48.2200012,170.0,-47.81,402.67,6769,-84.33331299,34.50012207,1,18947,36.2952995,3,8,2,1.76097381,-50.2859993,-40.7737999,55432.39844,168963.0,-11.2739,88.0615005,452.2049866,North America
472,1,16.001,16.0,0.0022,1222.41,1553.48,1318.37,743.37,2.915475947,1.440000057,43.8300018,190.0,-42.85,332.09,6752,-101.333313,34.50012207,52,18947,47.1607018,4,1,3,1.69537401,213.095993,-36.2459984,47081.0,155151.0,-32.1865997,-1.46094,1022.650024,North America
473,2,16.005,15.0,-0.01,1856.36,1947.19,2052.06,1402.64,10.60660172,1.980000019,33.8499985,200.0,-33.62,155.04,6760,-93.33331299,34.50012207,1,18947,55.8554993,2,3,3,1.91232872,53.7322006,-41.9458008,45439.10156,119040.0,-1.53418,111.7200012,180.5099945,North America
474,1,10.0,9.996,-0.0328,209.3,887.06,17.2,213.32,5.522680509,1.440000057,31.9400005,100.0,-31.01,18.63,6736,-117.333313,34.50012207,30,18947,74.7394028,5,9,1,0.49098307,-13.5490999,-37.8115005,38362.80078,68492.29688,-10.8544998,50.9841003,1036.819946,North America
475,1,8.004,10.0,-0.032099999,287.72,828.48,22.24,242.11,5.522680509,1.440000057,30.1100006,100.0,-29.37,8.26,6734,-119.333313,34.50012207,8,18947,65.9642029,10,3,3,0.94920248,-55.2602997,-25.5970001,32953.10156,74148.60156,-36.4642982,83.3096008,639.3759766,North America
476,1,12.0,12.0,-0.057799999,630.7,1488.09,678.75,307.7,4.74341649,1.440000057,40.1399994,100.0,-37.91,96.49,6745,-108.333313,34.50012207,24,18947,80.8855972,5,3,3,0.51794809,111.5169983,-50.0379982,45719.10156,63614.80078,2.95821,-84.0391006,2162.689941,North America
477,1,8.004,10.0,-0.032099999,287.72,828.48,22.24,242.11,5.522680509,1.440000057,30.1100006,100.0,-29.37,8.26,6735,-118.333313,34.50012207,23,18947,71.1617966,5,1,3,0.78176749,-12.7257996,-30.3505001,40870.69922,84940.60156,-9.5523195,81.4918976,978.3569946,North America
478,2,13.997,14.0,0.0164,1864.41,1928.78,1851.11,1828.5,16.56804153,0.959999979,45.5600014,180.0,-45.35,236.37,6766,-87.33331299,34.50012207,1,18947,42.0449982,4,1,3,1.84198618,110.9540024,-31.7250004,44998.10156,240226.0,52.5619011,168.2539978,244.6529999,North America
479,1,10.0,9.996,-0.039099999,147.97,950.22,49.93,210.67,5.700877126,1.440000057,31.3600006,100.0,-30.34,38.59,6737,-116.333313,34.50012207,14,18947,78.6904984,5,1,1,0.49098307,108.9179993,-36.3321991,37934.10156,64029.89844,-16.9211998,42.9413986,963.6380005,North America
480,2,19.002,12.0,0.0123,1775.11,1623.49,1691.55,2120.69,21.96588264,1.980000019,36.75,170.0,-36.6,641.32,6772,-81.33331299,34.50012207,2,18947,44.9844017,3,8,2,1.69064128,-130.0879974,-31.8075008,43497.30078,238317.0,3.6993401,128.4420013,141.223999,North America
481,1,14.999,16.0,-0.0084,1374.4,1625.7,1501.82,912.21,4.74341649,1.440000057,47.8499985,190.0,-47.4,515.55,6754,-99.33331299,34.50012207,31,18947,47.030899,4,3,3,2.10639572,-86.2086029,-28.2059002,44669.0,202269.0,-34.0554008,46.8586006,430.2940063,North America
482,2,10.005,9.99,0.0012,1823.89,1515.52,1630.66,2188.33,18.069311,1.980000019,35.0499992,160.0,-35.05,986.08,6775,-78.33331299,34.50012207,3,18947,49.1030006,4,1,3,1.61564612,-102.3669968,-33.1918983,39822.80078,215914.0,-11.4499998,135.4559937,21.1956997,North America
483,1,11.504,12.0,-0.0517,403.78,1310.06,410.18,271.35,7.64852927,1.440000057,38.1100006,100.0,-36.47,137.35,6742,-111.333313,34.50012207,5,18947,66.9404984,5,2,3,0.35764056,-49.5042992,-41.0334015,44911.80078,71124.60156,-4.0683599,-31.7989998,1766.459961,North America
484,1,16.001,16.0,-0.0054,1297.15,1586.99,1410.09,827.21,3.807886553,1.440000057,45.9099998,190.0,-45.28,423.81,6753,-100.333313,34.50012207,83,18947,48.1841011,4,3,3,1.94307053,-207.6139984,-32.3008003,47115.19922,192293.0,-24.6329002,37.1283989,541.1030273,North America
485,1,11.998,10.5,-0.043400001,710.27,1478.25,769.57,338.85,3.807886553,1.440000057,39.8499985,100.0,-37.79,23.36,6746,-107.333313,34.50012207,26,18947,81.1818008,5,1,3,0.61489826,44.9096985,-47.2588005,44390.10156,51856.69922,-4.9377799,-79.4393997,2164.290039,North America
486,1,10.0,10.001,-0.0473,239.38,1159.48,241.47,259.17,7.106335202,1.440000057,28.3099995,100.0,-27.38,18.5,6740,-113.333313,34.50012207,14,18947,76.5744019,5,1,3,0.46044308,-37.0131989,-31.6205006,38245.89844,47710.30078,-14.9305,28.3327999,600.5430298,North America
487,1,11.504,12.0,-0.0517,403.78,1310.06,410.18,271.35,7.64852927,1.440000057,38.1100006,100.0,-36.47,137.35,6741,-112.333313,34.50012207,13,18947,69.5298996,5,2,1,0.3945424,-90.594902,-37.7452011,41571.69922,55383.80078,-12.7834997,-12.1183996,1507.880005,North America
488,1,10.0,10.0,-0.034899998,130.56,1017.13,103.55,247.83,6.041522987,1.440000057,27.7999992,100.0,-27.2,99.36,6738,-115.333313,34.50012207,16,18947,82.0927963,5,1,3,0.47321564,35.9147987,-29.8789997,35579.80078,53524.10156,-4.68505,76.8764038,330.8479919,North America
489,1,13.996,15.0,0.0052,934.27,1377.42,1041.71,544.21,2.549509757,1.440000057,48.6599998,100.0,-47.44,50.86,6598,-104.333313,33.50012207,22,18947,52.6811981,6,1,3,1.12310946,60.5713997,-39.2102013,48113.80078,132126.0,-5.7383599,-10.6008997,1120.339966,North America
490,1,11.998,10.5,-0.045400001,754.29,1363.55,856.15,426.66,3.535533906,1.440000057,34.7099991,100.0,-33.17,106.35,6596,-106.333313,33.50012207,8,18947,76.6292038,5,1,3,0.66576296,112.2770004,-40.3861008,43752.30078,59028.10156,-11.4267998,-49.4407005,1635.469971,North America
491,1,18.001,16.0,0.0167,1082.08,1418.78,1227.19,697.69,2.915475947,1.440000057,48.8199997,110.0,-47.74,236.18,6600,-102.333313,33.50012207,63,18947,44.8767014,4,1,3,1.5358063,41.8340988,-32.4014015,43143.5,158789.0,6.5734501,26.1527996,1069.26001,North America
492,1,16.003,16.0,-0.0081,1403.24,1573.84,1597.8,1000.49,6.041522987,1.440000057,41.7700005,190.0,-41.44,533.2,6604,-98.33331299,33.50012207,90,18947,48.1240997,2,3,3,2.12185383,-21.3593998,-29.0893002,44808.5,173544.0,-12.1785002,83.5078964,327.8460083,North America
493,1,15.996,16.0,0.0084,1158.89,1449.09,1319.89,778.07,3.535533906,1.440000057,47.0,180.0,-46.1,329.0,6601,-101.333313,33.50012207,113,18947,46.0192986,4,1,3,1.70798659,-284.6830139,-33.2919998,43643.69922,190462.0,0.837115,40.699501,884.5339966,North America
494,1,9.0,9.001,-0.0502,74.94,1031.59,39.21,258.38,4.74341649,1.440000057,28.1399994,100.0,-27.38,40.94,6586,-116.333313,33.50012207,17,18947,76.9024963,5,9,1,0.516675,-89.506897,-32.9012985,37155.5,75012.0,-6.6775098,80.1673965,1057.439941,North America
495,1,18.001,16.0,0.022399999,1008.5,1394.78,1134.46,619.5,2.549509757,1.440000057,47.9099998,100.0,-46.64,143.4,6599,-103.333313,33.50012207,76,18947,46.4217987,6,1,3,1.35291827,23.0007992,-32.7821999,42609.80078,162210.0,17.3498001,19.1907005,1279.800049,North America
496,1,15.0,14.0,-0.0099,1560.6,1680.84,1782.89,1158.93,7.90569415,1.00999999,39.8300018,190.0,-39.63,453.08,6605,-97.33331299,33.50012207,80,18947,50.7883987,2,3,3,2.14687824,-170.9309998,-25.0312004,44687.5,125738.0,12.6371002,116.8909988,297.9970093,North America
497,1,15.996,16.0,0.0,1238.32,1485.32,1412.56,850.05,4.301162634,1.440000057,44.9599991,180.0,-44.34,395.59,6602,-100.333313,33.50012207,128,18947,46.9989014,4,1,3,1.86945903,-266.0230103,-32.5281982,44642.5,195901.0,8.0203695,73.8482971,565.7550049,North America
498,1,9.003,8.5,-0.032499999,26.7,1094.28,26.06,251.47,5.14781507,1.440000057,24.4799995,100.0,-24.15,13.54,6587,-115.333313,33.50012207,22,18947,83.2514038,5,1,3,0.51299751,1.33768,-28.5489006,33297.0,50531.0,-24.8609009,82.9175034,479.9490051,North America
499,1,11.998,10.5,-0.045400001,754.29,1363.55,856.15,426.66,3.535533906,1.440000057,34.7099991,100.0,-33.17,106.35,6595,-107.333313,33.50012207,27,18947,84.6912003,5,1,3,0.58125865,8.52038,-49.3232002,41289.89844,47604.69922,-7.79389,-65.4283981,1795.410034,North America
