FID,G_ther_age,thk_up_cru,thk_mid_cr,upman_den_,d_2ridge,d_2trench,d2_transfo,d_2volcano,d_2hotspot,G_heat_pro,crusthk_cr,lithk_cona,depthmoho,G_d_2yng_r,OBJECTID_1,Longitude_1,Latitude_1,num_in_cel,num_in_con,GHF,G_u_m_vel_,lthlgy_all,lthlgy_mod,age,magnetic_M,moho_GReD,moho_Pasya,litho_asth,WGM2012_Ai,WGM2012_Bo,ETOPO_1deg,continent
535,5,13.00399971,12,0.0143,515.5,3984.379883,4758,1315.5,18.72164536,0.95999998,38,170,-36.41999817,305.8299866,536,-30.33331299,79.50012207,0,0,0,2,0,10,2.11916614,55.5013008,-31.8738003,42628.80078,224059,40.7496986,94.4120026,281.3729858,0
0,1,13.00399971,12,-0.0044,260.3800049,4087.600098,4660.549805,1281,14.15980244,1.00999999,34.9000015,100,-34.38999939,70.44000244,1,-18.33331299,80.50012207,0,0,0,4,0,1,1.90424228,163.0740051,-30.6142998,34929.39844,119596,-8.7172203,84.0892029,616.3770142,0
1,2,12.99699974,13,-0.0099,325.8399963,4034.340088,4710.680176,1292.540039,16.68832016,1.54999995,36.7000008,100,-36.20999908,126.8199997,2,-22.33331299,80.50012207,0,0,0,2,0,1,1.95323622,171.9570007,-39.5680008,36690.19922,193908,21.9442005,101.4120026,776.2650146,0
2,2,13,13,-0.0111,309.3500061,4047.929932,4697.759766,1289.189941,16.50757408,1.54999995,36.4500008,100,-35.83000183,114.5199966,3,-21.33331299,80.50012207,0,0,0,2,0,1,1.93258941,284.8120117,-37.1673012,34816.5,182092,16.7837009,97.2201004,594.0670166,0
3,1,13,13,-0.0101,292.9200134,4061.340088,4685.089844,1286.150024,15.70031834,1.00999999,36.0499992,100,-35.54999924,103.7600021,4,-20.33331299,80.50012207,0,0,0,4,0,1,1.92699814,309.848999,-34.6952019,32602.80078,176206,-1.15922,81.3387985,1124.5,0
4,1,13.00399971,12,-0.0076,276.6000061,4074.560059,4672.689941,1283.420044,14.91643429,1.00999999,35.5,100,-34.93000031,88.62000275,5,-19.33331299,80.50012207,0,0,0,4,0,1,1.92042696,267.9129944,-32.364399,31491.40039,162794,-13.0186005,72.9733963,1124.5,0
67,1,13.00300026,12,-0.0269,955.6900024,3303.209961,5035.189941,1659.209961,49.34065247,1.00999999,33,190,-32.93000031,231.5599976,68,-66.33331299,80.50012207,0,0,0,2,0,2,1.81977499,70.0021973,-47.8362999,42397.30078,249340,-105.2610016,-12.2425003,-216.5079956,0
84,1,12.9989996,12,-0.0237,942.5200195,3321.550049,5051.990234,1648.069946,48.39937973,1.00999999,37,190,-36.75999832,224.5599976,85,-65.33331299,80.50012207,0,0,0,2,0,2,2.36220908,140.4649963,-47.1417999,44287.60156,242927,-76.9815979,10.2350998,546.2479858,0
85,1,12.9989996,12,-0.0214,929.2999878,3339.879883,5068.930176,1636.969971,47.46051025,1.00999999,38,190,-37.47000122,218.5800018,86,-64.33331299,80.50012207,0,0,0,2,0,2,2.36220908,46.4280014,-46.2771988,43351.80078,234283,-62.2445984,21.2565994,681.1359863,0
86,1,13.00300026,12,-0.0196,916.039978,3358.179932,5086,1625.930054,46.524189,1.00999999,38,190,-37.5,213.699997,87,-63.33331299,80.50012207,0,0,0,2,0,2,2.41676259,-14.8058996,-45.2372017,42008.60156,222807,-53.4476013,28.6753006,681.1359863,0
87,1,13.00300026,12,-0.0181,902.6599731,3376.459961,5103.180176,1614.959961,45.59056854,1.00999999,38,190,-37.52000046,210.0099945,88,-62.33331299,80.50012207,0,0,0,2,0,2,2.40650749,-18.8229008,-44.0633011,41654.39844,217067,-35.2450981,46.888401,-423.0140076,0
88,1,13,12,-0.0161,889.2299805,3394.699951,5120.490234,1604.050049,44.65982437,1.00999999,38,190,-37.63000107,207.5700073,89,-61.33331299,80.50012207,0,0,0,2,0,2,2.36903763,30.7117004,-42.8092003,41903.60156,222679,-17.1084003,65.5206985,-423.0140076,0
89,1,13,12,-0.0135,875.7700195,3412.899902,5137.899902,1593.209961,43.73213959,1.00999999,37,190,-36.68999863,206.4199982,90,-60.33331299,80.50012207,0,0,0,2,0,2,2.31729007,110.4100037,-41.5163994,42443.10156,232605,-7.40203,76.6595993,345.9230042,0
90,1,12.99800015,12,-0.0102,862.2600098,3431.050049,5155.410156,1582.449951,42.80770874,1.00999999,37,190,-36.45999908,206.5899963,91,-59.33331299,80.50012207,0,0,0,2,0,2,2.28369999,66.5280991,-40.2495995,42926.89844,237410,5.0317302,88.9854965,345.9230042,0
91,1,12.99800015,12,-0.0066,848.7199707,3449.159912,5173.02002,1571.77002,41.88675308,1.00999999,37.7000008,190,-36.93999863,208.0700073,92,-58.33331299,80.50012207,0,0,0,1,0,2,2.25856495,-12.0516996,-39.0969009,41381,250122,16.4416008,96.6557007,374.8039856,0
92,5,12.99600029,12,-0.003,835.1400147,3467.209961,5190.72998,1561.180054,40.9695015,0.95999998,37.5999985,190,-36.58000183,210.8300018,93,-57.33331299,80.50012207,0,0,0,1,0,2,2.25340676,-14.2093,-38.1147995,40357.5,254833,-1.5402,72.5382996,374.8039856,0
93,5,12.99600029,12,-0.0001,821.4799805,3485.209961,5208.52002,1550.680054,40.05620956,0.95999998,38.0999985,190,-36.88999939,214.8200073,94,-56.33331299,80.50012207,0,0,0,2,0,2,2.26822567,-8.8152103,-37.3115997,40941,246474,15.0686998,82.7562027,464.7489929,0
94,2,12.99699974,13,-0.0064,342.3999939,4020.570068,4723.850098,1296.199951,16.86712837,1.54999995,36.9099998,120,-36.56999969,140.25,95,-23.33331299,80.50012207,0,0,0,2,0,2,1.98893881,38.9449005,-41.5345001,39027.89844,203229,-14.1021996,66.5156021,98.7156982,0
136,5,12.9989996,12,-0.0151,614.7199707,3745.310059,4997.339844,1408.25,27.10165977,0.95999998,38.7000008,180,-36.66999817,308.7999878,137,-41.33331299,80.50012207,0,0,0,2,0,5,2.26924372,-86.6316986,-35.8256989,40988.80078,213407,25.1474991,60.9808006,237.7330017,0
137,5,12.9989996,12,-0.0171,601,3761.810059,4980.640137,1400.040039,26.31539536,0.95999998,38.7999992,180,-36.77000046,312.2600098,138,-40.33331299,80.50012207,0,0,0,2,0,5,2.23536134,-110.8799973,-35.7532005,41625.10156,203664,25.6245995,61.9894981,237.7330017,0
138,5,12.9989996,12,-0.0196,587.3099976,3778.189941,4964.089844,1392.030029,25.54407883,0.95999998,38.7999992,180,-36.79000092,312.2399902,139,-39.33331299,80.50012207,0,0,0,2,0,5,2.22366571,-129.2169952,-35.5000992,42146.69922,195811,30.4755993,67.3314972,346.8380127,0
139,5,12.9989996,12,-0.0217,573.6799927,3794.439941,4947.689941,1384.22998,24.78911018,0.95999998,38.7999992,180,-36.84000015,302.8299866,140,-38.33331299,80.50012207,0,0,0,2,0,5,2.23415685,-91.2587967,-35.085701,41503.5,201646,19.8232002,57.1983986,346.8380127,0
140,5,13.00199985,12,-0.023,559.8400269,3810.560059,4931.450195,1376.630005,24.05202675,0.95999998,38.5999985,180,-36.68999863,293.980011,141,-37.33331299,80.50012207,0,0,0,2,0,5,2.24913239,-52.8520012,-34.5886993,40927.80078,208826,18.5790005,57.4869995,265.3089905,0
141,5,13.00199985,12,-0.0223,545.8800049,3826.540039,4915.370117,1369.26001,23.33452415,0.95999998,38.7000008,170,-36.84000015,285.75,142,-36.33331299,80.50012207,0,0,0,2,0,5,2.2685926,58.0723,-34.1175003,40068.80078,215663,25.4367008,66.6485977,265.3089905,0
142,5,12.99800015,12,-0.0195,531.9799805,3842.389893,4899.450195,1362.109985,22.63846207,0.95999998,38.5,170,-36.70000076,278.2000122,143,-35.33331299,80.50012207,0,0,0,2,0,5,2.25151873,136.5650024,-33.7599983,40759.30078,207244,39.5895996,82.5793991,230.5169983,0
143,5,12.99800015,12,-0.0144,518.1400147,3858.090088,4883.720215,1355.189941,21.96588326,0.95999998,38.5,170,-36.75999832,271.3900147,144,-34.33331299,80.50012207,0,0,0,2,0,5,2.19791126,253.8399963,-33.6497993,41476.80078,195042,55.1074982,98.7096024,468.7650146,0
144,5,13.0010004,12,-0.0075,503.2799988,3873.639893,4868.160156,1348.51001,21.31900597,0.95999998,38.5,170,-36.81000137,265,145,-33.33331299,80.50012207,0,0,0,2,0,5,2.16577458,128.2259979,-33.7994995,42220.80078,184023,63.2683983,106.5709991,468.7650146,0
