FID,thermo_tecto_age,thickness_upper_crust,thickness_middle_crust,upper_mantle_density_anomaly,d_2_ridge,d_2_trench,d_2_trans_ridge,d_2_volcano,d_2_hotspot,heat_prod_provinces,thickness_crust,d_2_young_rift,lon,lat,GHF,upper_mantle_vel_structure,rock_type,age,magnetic_anomaly,depth_to_moho,lithos_asthenos_bdry,bougeur_gravity_anomaly,topography
1050,1.0,13.996,15.0,-0.0285,794.65,1255.98,958.77,539.95,3.807886553,1.440000057,41.2700005,49.7,-105.333313,32.50012207,65.793602,5.0,3.0,0.83965594,-38.6623001,-39.8963013,97316.29688,-11.3558998,1636.800049
1051,1.0,10.0,9.998,-0.054699998,278.18,1347.26,404.87,337.89,5.700877126,1.440000057,28.5900002,221.34,-111.333313,32.50012207,85.1628036,5.0,3.0,0.33943611,147.598999,-29.8841,54975.30078,42.7598991,584.1939697
1052,1.0,15.998,15.0,0.0117,1204.59,1335.6,1535.86,961.55,6.363961031,1.440000057,43.0400009,348.88,-99.33331299,31.50012207,44.8558006,4.0,3.0,1.70682061,255.6620026,-34.7481995,156100.0,80.9497986,468.3609924
1053,1.0,15.998,15.0,0.001,1285.59,1389.91,1604.39,1035.0,7.106335202,1.440000057,38.0099983,435.83,-98.33331299,31.50012207,49.3667984,4.0,3.0,1.78729689,88.1529007,-36.2294006,142568.0,80.0764008,457.7890015
1054,1.0,8.997,9.5,0.0198,1518.41,1625.37,1505.81,1683.7,18.069311,1.00999999,39.0,545.36,-86.33331299,31.50012207,43.1102982,4.0,3.0,1.71635747,100.5169983,-32.4073982,190892.0,141.9680023,93.0653992
1055,1.0,14.997,14.0,0.0163,1124.27,1286.7,1443.05,891.02,5.700877126,1.440000057,41.0099983,262.66,-100.333313,31.50012207,43.9869995,4.0,3.0,1.66255021,263.0899963,-37.0920982,150863.0,61.5707016,576.401001
1056,1.0,14.997,14.0,0.0221,1046.89,1243.84,1350.34,824.63,5.14781507,1.440000057,42.0900002,175.82,-101.333313,31.50012207,44.4431992,4.0,3.0,1.72002113,51.0918007,-36.7933998,159418.0,45.6848984,783.822998
1057,1.0,11.997,9.0,0.0111,801.81,1157.79,1073.07,645.84,4.527692569,1.440000057,43.6300011,26.03,-104.333313,31.50012207,53.3265991,6.0,3.0,1.09335542,-79.0218964,-37.1792984,98542.60156,1.36455,1339.670044
1058,1.0,11.997,9.0,-0.0165,723.34,1145.07,981.12,585.74,4.74341649,1.440000057,39.5900002,26.41,-105.333313,31.50012207,64.6080017,5.0,3.0,0.79649997,117.723999,-38.5828018,109520.0,-7.4193301,1423.76001
1059,1.0,19.001,12.0,0.028899999,968.72,1207.67,1257.74,763.38,4.74341649,1.440000057,41.0900002,104.88,-102.333313,31.50012207,45.2428017,4.0,3.0,1.62201309,55.5868988,-32.1797981,131926.0,51.785099,828.1300049
1060,2.0,10.004,9.5,0.0033,1441.2,1326.48,1366.6,1867.35,21.55226206,1.980000019,37.2900009,834.22,-81.33331299,31.50012207,42.4530983,3.0,3.0,1.72891498,-229.2929993,-28.8346996,141860.0,123.5,8.7684803
1061,1.0,19.001,12.0,0.027799999,883.91,1178.8,1165.3,703.7,4.527692569,1.440000057,43.2900009,49.95,-103.333313,31.50012207,47.4658012,6.0,3.0,1.36852646,-79.1990967,-32.5499001,103186.0,13.1841002,811.5700073
1062,1.0,7.996,8.0,0.0069,1705.08,1722.81,1787.94,1322.02,11.42365966,1.00999999,34.7099991,405.84,-94.33331299,31.50012207,64.7174988,4.0,3.0,1.9791981,-60.1427994,-29.5993996,68479.79688,112.0619965,73.2165985
1063,1.0,8.997,9.5,0.0207,1553.02,1696.34,1542.92,1625.45,17.10263138,1.00999999,38.9900017,480.23,-88.33331299,31.50012207,51.0486984,4.0,3.0,1.72746229,-103.189003,-29.6355991,171508.0,142.677002,54.3334999
